group,rank,team,slug,club,club_slug,region,team_depth,team_depth_label,cpi,movement,games_tracked,latest_tournament,latest_record,ranking_flags,manual_review_note,issue_types,recommended_action,same_group_possible_duplicate_matches,same_club_other_teams_in_group,quiksilver_old_rank,quiksilver_new_rank,quiksilver_weight,logo,team_page,club_page,manual_decision,approved_canonical_team,approved_canonical_club,notes
14U Boys,50,680 B,680-b,680,680,East Bay,2,B/depth team,1677.9,0,6,Futures Super Finals,3-2,depth_team_top_50_review,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,680 A #30 (680-a); 680 C #76 (680-c),680 A #30 depth=1; 680 C #76 depth=3,,,,assets/logos/canonical/680.webp,team.html?team=680-b,club.html?club=680,,,,
14U Boys,51,SJ Express A,sj-express-a,SJ Express,sj-express,Peninsula / San Francisco,1,primary/A-level,1674.0,0,5,Futures Super Finals,1-4,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/sj-express.webp,team.html?team=sj-express-a,club.html?club=sj-express,,,,
14U Boys,52,American River A,american-river-a,American River,american-river,Sacramento,1,primary/A-level,1671.9,0,5,Futures Super Finals,1-4,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,American River B #97 (american-river-b),American River B #97 depth=2,,,,assets/logos/canonical/american-river.webp,team.html?team=american-river-a,club.html?club=american-river,,,,
14U Boys,53,South Coast B,south-coast-b,South Coast,south-coast,Orange County,2,B/depth team,1656.6,0,5,Futures Super Finals,3-2,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,South Coast A #16 (south-coast-a); South Coast C #91 (south-coast-c),South Coast A #16 depth=1; South Coast C #91 depth=3,,,,assets/logos/canonical/south-coast.webp,team.html?team=south-coast-b,club.html?club=south-coast,,,,
14U Boys,54,Clovis Red,clovis-red,Clovis Red,clovis-red,Central Valley,1,primary/A-level,1654.9,0,5,Futures Super Finals,1-4,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/clovis-red.webp,team.html?team=clovis-red,club.html?club=clovis-red,,,,
14U Boys,55,Lamorinda B,lamorinda-b,Lamorinda,lamorinda,East Bay,2,B/depth team,1653.8,0,10,Futures Super Finals,2-3,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Lamorinda A #15 (lamorinda-a); Lamorinda C #103 (lamorinda-c),Lamorinda A #15 depth=1; Lamorinda C #103 depth=3,,,,assets/logos/canonical/lamorinda.webp,team.html?team=lamorinda-b,club.html?club=lamorinda,,,,
14U Boys,56,SJ Foundation A,sj-foundation-a,SJ Foundation,sj-foundation,Peninsula / San Francisco,1,primary/A-level,1626.0,0,5,Futures Super Finals,3-2,,,official_logo_needed|possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Collect official logo screenshot/source when available.,SJ Foundation B #105 (sj-foundation-b),SJ Foundation B #105 depth=2,,,,assets/logos/canonical/sj-foundation.webp,team.html?team=sj-foundation-a,club.html?club=sj-foundation,,,,
14U Boys,57,PV WPC A,pv-wpc-a,PV WPC,pv-wpc,Los Angeles,1,primary/A-level,1625.4,0,0,Futures Super Finals,—,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,PV WPC B #83 (pv-wpc-b),PV WPC B #83 depth=2,,,,assets/logos/canonical/pv-wpc.webp,team.html?team=pv-wpc-a,club.html?club=pv-wpc,,,,
14U Boys,58,NorCal B,norcal-b,NorCal,norcal,Peninsula / San Francisco,2,B/depth team,1618.7,0,5,Futures Super Finals,3-2,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,NorCal A #1 (norcal-a); NorCal C #80 (norcal-c),NorCal A #1 depth=1; NorCal C #80 depth=3,,,,assets/logos/canonical/norcal.webp,team.html?team=norcal-b,club.html?club=norcal,,,,
14U Boys,59,Titans A,titans-a,Titans,titans,Los Angeles,1,primary/A-level,1605.7,0,5,Futures Super Finals,2-3,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/titans.webp,team.html?team=titans-a,club.html?club=titans,,,,
14U Boys,60,Diablo Alliance B,diablo-alliance-b,Diablo Alliance,diablo-alliance,East Bay,2,B/depth team,1601.1,0,5,Futures Super Finals,2-3,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Diablo Alliance A #23 (diablo-alliance-a),Diablo Alliance A #23 depth=1,,,,assets/logos/canonical/diablo-alliance.webp,team.html?team=diablo-alliance-b,club.html?club=diablo-alliance,,,,
14U Boys,61,San Francisco A,san-francisco-a,San Francisco,san-francisco,Peninsula / San Francisco,1,primary/A-level,1597.1,0,5,Futures Super Finals,0-5,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/san-francisco.webp,team.html?team=san-francisco-a,club.html?club=san-francisco,,,,
14U Boys,62,CVU A,cvu-a,CVU,cvu,Central Valley,1,primary/A-level,1594.1,0,5,Futures Super Finals,2-3,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/cvu.webp,team.html?team=cvu-a,club.html?club=cvu,,,,
14U Boys,63,Poway Valley Black,poway-valley-black,Poway Valley Black,poway-valley-black,San Diego,1,primary/A-level,1579.3,0,8,Futures Super Finals,—,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/poway-valley-black.webp,team.html?team=poway-valley-black,club.html?club=poway-valley-black,,,,
14U Boys,64,Stanford C,stanford-c,Stanford,stanford,Peninsula / San Francisco,3,C/depth team,1572.6,0,5,Futures Super Finals,2-3,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Stanford A #13 (stanford-a); Stanford B #44 (stanford-b),Stanford A #13 depth=1; Stanford B #44 depth=2,,,,assets/logos/canonical/stanford.webp,team.html?team=stanford-c,club.html?club=stanford,,,,
14U Boys,65,SD Dons B,sd-dons-b,SD Dons,sd-dons,San Diego,2,B/depth team,1571.6,0,4,Futures Super Finals,—,low_game_count_review,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,SD Dons A #7 (sd-dons-a),SD Dons A #7 depth=1,,,,assets/logos/canonical/sd-dons.webp,team.html?team=sd-dons-b,club.html?club=sd-dons,,,,
14U Boys,66,Vanguard C,vanguard-c,Vanguard,vanguard,Orange County,3,C/depth team,1551.6,0,0,Futures Super Finals,—,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Vanguard A #14 (vanguard-a); Vanguard B #43 (vanguard-b),Vanguard A #14 depth=1; Vanguard B #43 depth=2,,,,assets/logos/canonical/vanguard.webp,team.html?team=vanguard-c,club.html?club=vanguard,,,,
14U Boys,67,Sharks A,sharks-a,Sharks,sharks,Peninsula / San Francisco,1,primary/A-level,1546.8,0,0,Futures Super Finals,—,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/sharks.webp,team.html?team=sharks-a,club.html?club=sharks,,,,
14U Boys,68,Pasadena AC A,pasadena-ac-a,Pasadena AC,pasadena-ac,Los Angeles,1,primary/A-level,1545.7,0,0,Futures Super Finals,—,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/pasadena-ac.webp,team.html?team=pasadena-ac-a,club.html?club=pasadena-ac,,,,
14U Boys,69,Supreme A,supreme-a,Supreme,supreme,Los Angeles,1,primary/A-level,1544.5,0,5,Futures Super Finals,2-3,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/supreme.webp,team.html?team=supreme-a,club.html?club=supreme,,,,
14U Boys,70,San Clemente Red,san-clemente-red,San Clemente Red,san-clemente-red,Orange County,1,primary/A-level,1543.5,0,17,Futures Super Finals,—,,,possible_duplicate_team_name,Review whether this is a true separate team or alias merge.,San Clemente A #24 (san-clemente-a),,,,,assets/logos/canonical/san-clemente-red.webp,team.html?team=san-clemente-red,club.html?club=san-clemente-red,,,,
14U Boys,71,OCWPC A,ocwpc-a,OCWPC,ocwpc,Orange County,1,primary/A-level,1539.6,0,0,Futures Super Finals,—,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,OCWPC B #73 (ocwpc-b),OCWPC B #73 depth=2,,,,assets/logos/canonical/ocwpc.webp,team.html?team=ocwpc-a,club.html?club=ocwpc,,,,
14U Boys,72,Loyola WPC A,loyola-wpc-a,Loyola WPC,loyola-wpc,Los Angeles,1,primary/A-level,1537.9,0,0,Futures Super Finals,—,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/loyola-wpc.webp,team.html?team=loyola-wpc-a,club.html?club=loyola-wpc,,,,
14U Boys,73,OCWPC B,ocwpc-b,OCWPC,ocwpc,Orange County,2,B/depth team,1537.5,0,0,Futures Super Finals,—,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,OCWPC A #71 (ocwpc-a),OCWPC A #71 depth=1,,,,assets/logos/canonical/ocwpc.webp,team.html?team=ocwpc-b,club.html?club=ocwpc,,,,
14U Boys,74,Hieland A,hieland-a,Hieland,hieland,Orange County,1,primary/A-level,1531.2,0,0,Futures Super Finals,—,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/hieland.webp,team.html?team=hieland-a,club.html?club=hieland,,,,
14U Boys,75,SHAQ A,shaq-a,SHAQ,shaq,Peninsula / San Francisco,1,primary/A-level,1529.1,0,0,Futures Super Finals,—,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,SHAQ B #84 (shaq-b),SHAQ B #84 depth=2,,,,assets/logos/canonical/shaq.webp,team.html?team=shaq-a,club.html?club=shaq,,,,
14U Boys,76,680 C,680-c,680,680,East Bay,3,C/depth team,1527.9,0,7,Futures Super Finals,1-4,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,680 A #30 (680-a); 680 B #50 (680-b),680 A #30 depth=1; 680 B #50 depth=2,,,,assets/logos/canonical/680.webp,team.html?team=680-c,club.html?club=680,,,,
14U Boys,77,Sand Canyon A,sand-canyon-a,Sand Canyon,sand-canyon,Orange County,1,primary/A-level,1525.7,0,0,Futures Super Finals,—,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/sand-canyon.webp,team.html?team=sand-canyon-a,club.html?club=sand-canyon,,,,
14U Boys,78,Patriot Red,patriot-red,Patriot Red,patriot-red,Orange County,1,primary/A-level,1525.5,0,0,Futures Super Finals,—,,,possible_duplicate_team_name,Review whether this is a true separate team or alias merge.,Patriot A #10 (patriot-a); Patriot B #28 (patriot-b),,,,,assets/logos/canonical/patriot-red.webp,team.html?team=patriot-red,club.html?club=patriot-red,,,,
14U Boys,79,Gold Coast A,gold-coast-a,Gold Coast,gold-coast,Central Coast,1,primary/A-level,1518.7,0,0,Futures Super Finals,—,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/gold-coast.webp,team.html?team=gold-coast-a,club.html?club=gold-coast,,,,
14U Boys,80,NorCal C,norcal-c,NorCal,norcal,Peninsula / San Francisco,3,C/depth team,1512.2,0,0,Futures Super Finals,—,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,NorCal A #1 (norcal-a); NorCal B #58 (norcal-b),NorCal A #1 depth=1; NorCal B #58 depth=2,,,,assets/logos/canonical/norcal.webp,team.html?team=norcal-c,club.html?club=norcal,,,,
14U Boys,81,Brea Olinda Gold,brea-olinda-gold,Brea Olinda Gold,brea-olinda-gold,Orange County,2,B/depth or lower color team,1506.5,0,2,Futures Super Finals,—,low_game_count_review,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/brea-olinda-gold.webp,team.html?team=brea-olinda-gold,club.html?club=brea-olinda-gold,,,,
14U Boys,82,SD ECA A,sd-eca-a,SD ECA,sd-eca,San Diego,1,primary/A-level,1505.3,0,0,Futures Super Finals,—,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/sd-eca.webp,team.html?team=sd-eca-a,club.html?club=sd-eca,,,,
14U Boys,83,PV WPC B,pv-wpc-b,PV WPC,pv-wpc,Los Angeles,2,B/depth team,1504.9,0,0,Futures Super Finals,—,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,PV WPC A #57 (pv-wpc-a),PV WPC A #57 depth=1,,,,assets/logos/canonical/pv-wpc.webp,team.html?team=pv-wpc-b,club.html?club=pv-wpc,,,,
14U Boys,84,SHAQ B,shaq-b,SHAQ,shaq,Peninsula / San Francisco,2,B/depth team,1500.7,0,0,Futures Super Finals,—,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,SHAQ A #75 (shaq-a),SHAQ A #75 depth=1,,,,assets/logos/canonical/shaq.webp,team.html?team=shaq-b,club.html?club=shaq,,,,
14U Boys,85,Pride B,pride-b,Pride,pride,Inland Empire,2,B/depth team,1500.2,0,4,Futures Super Finals,—,low_game_count_review,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Pride A #26 (pride-a),Pride A #26 depth=1,,,,assets/logos/canonical/pride.webp,team.html?team=pride-b,club.html?club=pride,,,,
14U Boys,86,Nado A,nado-a,Nado,nado,San Diego,1,primary/A-level,1500.1,0,0,Futures Super Finals,—,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/nado.webp,team.html?team=nado-a,club.html?club=nado,,,,
14U Boys,87,ORWP A,orwp-a,ORWP,orwp,Los Angeles,1,primary/A-level,1500.0,0,2,Futures Super Finals,—,low_game_count_review,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/orwp.webp,team.html?team=orwp-a,club.html?club=orwp,,,,
14U Boys,88,CT Premier A,ct-premier-a,CT Premier,ct-premier,Out of State,1,primary/A-level,1492.0,0,0,Futures Super Finals,—,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/ct-premier.webp,team.html?team=ct-premier-a,club.html?club=ct-premier,,,,
14U Boys,89,North Irvine B,north-irvine-b,North Irvine,north-irvine,Orange County,2,B/depth team,1490.2,0,12,Futures Super Finals,0-5,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,North Irvine A #20 (north-irvine-a),North Irvine A #20 depth=1,,,,assets/logos/canonical/north-irvine.webp,team.html?team=north-irvine-b,club.html?club=north-irvine,,,,
14U Boys,90,Santa Cruz A,santa-cruz-a,Santa Cruz,santa-cruz,Central Coast,1,primary/A-level,1482.3,0,0,Futures Super Finals,—,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/santa-cruz.webp,team.html?team=santa-cruz-a,club.html?club=santa-cruz,,,,
14U Boys,91,South Coast C,south-coast-c,South Coast,south-coast,Orange County,3,C/depth team,1482.3,0,0,Futures Super Finals,—,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,South Coast A #16 (south-coast-a); South Coast B #53 (south-coast-b),South Coast A #16 depth=1; South Coast B #53 depth=2,,,,assets/logos/canonical/south-coast.webp,team.html?team=south-coast-c,club.html?club=south-coast,,,,
14U Boys,92,Route 66 Aquatics A,route-66-aquatics-a,Route 66 Aquatics,route-66-aquatics,Inland Empire,1,primary/A-level,1479.9,0,0,Quiksilver Cup,8 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/route-66-aquatics.webp,team.html?team=route-66-aquatics-a,club.html?club=route-66-aquatics,,,,
